name,company,region,salary_min,salary_max,currency,date,url,requirement,duty
Аналитик данных,"ООО ""ВК-ИТ""",Московская область,75000,200000,«руб.»,,https://trudvsem.ru/vacancy/card/1217700010440/511c3618-698b-11f1-b58e-dd53c9fce633,,"Подготовка данных для анализа: сбор данных, загрузка данных, преобразование данных в удобный для исследования вид, проверка их качества, аналитические выводы. Статистический анализ, проверка гипотез. Разработка новых продуктивных объектов и сервисов. Генерация новых features, ad-hoc аналитика. Разработка новых метрик. Взаимодействие с заказчиком. Разработка проектных документов. Тесное взаимодействие с командой разработки и Data Science."
Аналитик данных,"ООО ""ОФИСМАГ""",Воронежская область,80000,80000,«руб.»,,https://trudvsem.ru/vacancy/card/1043600029670/17e6db60-59c9-11f1-ac0f-f1a19d144bdd,,"сбори подготовка данных: разработка и сопровождение интеграций с API маркетплейсов (Wildberries, Ozon и т.д.), построение ETL-процессов на Python; управлениехранилищем: создание аналитических витрин и оптимизация сложных SQL-запросов в PostgreSQL; анализи расчет метрик: расчет юнит-экономики, маржинальности, анализ эффективностирекламы и поиск аномалий в данных (Pandas, NumPy); качестводанных: контроль полноты и достоверности данных, поступающих из разныхисточников, устранение ошибок и расхождений; визуализация: разработка интерактивных дашбордов в Power BI (DAX, Power Query) и Excel для поддержки управленческих решений; автоматизацияотчетности: перевод ручных Excel-отчетов в автоматизированный режим, разработка скриптов для регулярного обновления аналитики; DataExploration: поиск скрытых закономерностей и инсайтов в данных для оптимизациипродаж и расходов."
Аналитик данных,"СПБ ГКУ ""СПБ ИАЦ""",Город Санкт-Петербург,110000,120000,«руб.»,,https://trudvsem.ru/vacancy/card/1247800130082/1173adb8-9bac-11f1-a6b4-b9457f95c409,,"Анализировать данные и показатели, готовить выводы для команд и руководства, помогать формировать отчеты."
Аналитик данных,"Сбербанк России, ПАО",Самарская область,121350,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/9b99c384-ab8d-11f1-b16a-e32211fe5c46,,"Аналитика эффективности работы центра финансового оздоровления. Обязанности сопровождение и доработка операционной отчетности центра выгрузка, аналитика и визуализация данных анализ ключевых показателей и формирование заключений развитие экспертизы в области выявления отклонений по процессам ведение процесса запуска кампаний обзвона в части аналитики данных подготовка аналитических справок. Требования образование высшее: математическое, экономическое, финансовое знание и применение различных методик анализа, прогнозирования владение SQL (умение написать свой код, читать либо оптимизировать чужой код) опыт работы в области анализа данных, статистики уверенное пользование Excel готовность использовать ИИ в ежедневной работе (обучение за счёт компании есть свои курсы). Условия премия по итогам работы за год и ежегодный пересмотр зарплаты возможность влиять на свой доход быстрый старт карьеры уникальная система онлайн обучения Сбера для карьерного развития и роста расширенный ДМС и льготное страхование для семьи бесплатная подписка Прайм с возможностью совместного использования на трёх близких вознаграждение за рекомендацию друзей в команду Сбера гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ."
Аналитик данных,"Сбербанк России, ПАО",Город Москва,0,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/cb885c14-9c64-11f1-9fac-c1f46a4ec373,,"Команда, которая занимается полным циклом автоматизации драйверных моделей бизнес планирования. Чем предстоит заниматься: выполнять функции по автоматизации расчетов драйверных моделей анализ текущего процесса – большая часть которого в Excel, SQL скриптах (разбирать логику, формулы) поиском источников – анализ и репликация источников в DWH, согласование с владельцами систем разрабатывать меппинги – опыт работы с огромными хранилищами и системами на 500+ параметров создавать витрины - спроектировать и наполнить агрегированные слои для бизнес-планирования внедрять автоматизированный процесс на поддержку, обучить бизнес-пользователей новому формату заниматься прототипированием во внутренней системе (собственная разработка): создать модель планирования и запустить расчеты Мы ждем что, вы: имеете опыт от 3+ лет в аналитике данных, бизнес-аналитке, клиентской аналитике ФЛ имеете опыт работы с большими данными (Spark, Hadoop, GreenPlum, ClickHouse), знаете SQL и Python умеете визуализировать данные, писать качественные БТ на разработку дашбордов понимаете метрикм и драйверы для процесса бизнес-планирования, управления продуктом, клиентской аналитики имеете опыт фин. моделирования продуктов \ проектов \ пилотов \ инициатив имеете базовые знания статистики Будет плюсом: опыт в Banking, Retail, FinTech, E-commerce, Telecom знания методов cohort analysis, uplift modeling опыт работы с ML-моделями Что мы предлагаем: комфортный современный офис рядом с м. Кутузовская ежегодный пересмотр зарплаты, годовую премию корпоративный спортзал и зоны отдыха уникальную систему обучения Сбера для профессионального и карьерного развития расширенный ДМС и льготное страхование для семьи гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ подписка Прайм с возможностью совместного использования на трёх близких вознаграждение за рекомендацию друзей в команду Сбера корпоративную пенсионную программу"
Аналитик данных,"Сбербанк России, ПАО",Воронежская область,92000,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/2d40d4b4-a074-11f1-a9b8-ddd7dfb94ed8,,"- Обязанности подготовка аналитических справок с использованием MS Excel и  SQL-запросов сбор, обработка и анализ больших объемов данных создание структурированных запросов SQL для извлечения и агрегации необходимой информации из баз данных визуализация результатов анализа средствами Excel и Power Point поддержка бизнес-процессов банка путем предоставления качественной и оперативной аналитики. Требования знания основ статистического анализа и методов обработки данных. навыки работы с SQL для написания сложных запросов владение MS Excel на уровне продвинутого пользователя (формулы, сводные таблицы, диаграммы) навыки построения клиентоориентированной аналитики навык работы с большими объемами данных, внимание к деталям и аккуратность в работе аналитическое мышление, способность быстро осваивать новые инструменты и технологии. Преимуществом будет: знание Python/R. Условия оформление согласно трудовому кодексу РФ график 5\2 с 9 до 18:00, работа в офисе срочный трудовой договор адрес офиса: г. Воронеж, ул. 9 января, 68к оклад плюс система премий по результатам работы (ежемесячная и годовая премии) ежегодный пересмотр зарплаты гибкая система премирования и возможность влиять на свой доход корпоративный спортзал и зоны отдыха уникальная система обучения Сбера для профессионального и карьерного развития расширенный ДМС и льготное страхование для семьи гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ подписка Прайм с возможностью совместного использования на трёх близких вознаграждение за рекомендацию друзей в команду Сбера корпоративная пенсионная программа."
Аналитик данных,Таттелеком,Республика Татарстан (Татарстан),75000,78000,«руб.»,,https://trudvsem.ru/vacancy/card/1027700404797/354595e4-a832-11f1-960d-550b5f82b0ad,,"На данный момент мы находимся в поиске аналитика данных. Что нужно делать: Написание запросов в базах данных (основной язык SQL), работа с Excel Сбор, проверка, чистка, трансформация данных (структурирование, исправление ошибок и т.д.) Оформление дашбордов/визуализации для презентации результатов посредством Qlik Sense Анализ данных и формирование выводов, предложений по результатам анализа Работа с внутренними структурными подразделениями Что ждем от Вас: Опыт работы с SQL, BI системами Уверенное пользование компьютером и офисными программами: отличное знание возможностей Excel по обработке и представлению данных (сложные формулы, сводные таблицы, диаграммы) Аналитический склад ума Готовность разбираться в большом объёме информации Мы предлагаем: ""Белую"" заработную плату от 75000 до вычета: оклад + премия (ежемесячно) + 2 годовые премии (ко Дню связи в мае и к Новому году) Оформление по ТК РФ, оплата больничных и отпусков График работы 5/2 с 8:00 до 17:00 в офисе, сокращенный рабочий день в пятницу Комфортный офис по адресу: г. Казань, ул. Н.Ершова 55е, остановка ""Советская площадь"", напротив Арт Сити Возможность получать бонусы по программе ""Приведи друга"" - от 10 000 рублей Предоставляем оплачиваемый день отдыха в свой день рождения Подарки для сотрудников и их детей на праздники"
Аналитик данных,"ООО ""ДНС ТЕХНОЛОГИИ""",Приморский край,138000,202000,«руб.»,,https://trudvsem.ru/vacancy/card/1202500017477/d113ef85-9546-11f1-9d62-2f50b9e6b1e0,,"Сбор, обработка и анализ данных Разработка и поддержка отчетов для контроля ключевых показателей бизнеса Проведение аналитических исследований Взаимодействие с заказчиками и смежными отделами Консультирование конечных пользователей"
Аналитик данных (финансы),"Сбербанк России, ПАО",Город Москва,0,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/e245b214-9d57-11f1-9671-dde31a903fe6,,"Команда блока финансов Чем предстоит заниматься: анализировать и структурировать большие массивы данных для расчёта себестоимости продуктов и услуг взаимодействовать с продуктовыми командами для сбора и уточнения параметров, влияющих на стоимость (объёмы, тарифы, нормативы) формулировать и описывать ключевые показатели (драйверы) для распределения расходов, согласовывать их с владельцами процессов разрабатывать технические задания на автоматическую поставку этих показателей в корпоративные системы проводить расчёты в Excel, проверять корректность получаемых результатов, выявлять и исправлять аномалии участвовать в формировании методологии расчёта стоимости услуг и продуктов вместе с экспертами из бизнес-подразделений готовить аналитические материалы и презентации для руководства с выводами и рекомендациями по оптимизации затрат выгружать и обрабатывать детализированные данные из корпоративных хранилищ для разовых аналитических задач Мы ждем что, вы: имеете высшее экономическое, финансовое или техническое образование (в области анализа данных) имеете опыт работы с данными, в том числе на позициях аналитика или бизнес-аналитика в крупной компании имеете опыт работы в Hadoop и Greenplum свободно владеете SQL/ postgree sql (написание сложных запросов, работа с базами данных) уверенно работаете в Excel (сводные таблицы, сложные формулы, power query) умеете готовить структурированные презентации в PowerPoint приветствуется опыт финансового моделирования, понимание управленческого учёта, знание методологий распределения затрат; умеете использовать нейросети и современные инструменты для повышения эффективности аналитической работы. Что мы предлагаем: комфортный современный офис рядом с м. Кутузовская ежегодный пересмотр зарплаты, годовую премию корпоративный спортзал и зоны отдыха уникальную систему обучения Сбера для профессионального и карьерного развития расширенный ДМС и льготное страхование для семьи гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ подписка Прайм с возможностью совместного использования на трёх близких вознаграждение за рекомендацию друзей в команду Сбера корпоративную пенсионную программу"
Аналитик данных (ИСУ),"Сбербанк России, ПАО",Город Москва,0,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/ae110f54-a836-11f1-a596-0d553401c451,,"Сбер приглашает в команду дивизиона ИСУ (Интеллектуальная система управления) аналитика данных. Мы занимаемся автоматизацией регулярного менеджмента на территориальных подразделениях компании. Наша платформа уже находится в активной фазе эксплуатации и помогает алгоритмизировать, стандартизировать процессы управления, а также собирать и визуализировать данные для принятия управленческих решений. Вам предстоит работать с огромными массивами информации из логов колл-центра, чат-ботов и CRM-систем, превращая их в понятные метрики для руководителей. Обязанности писать скрипты на Python для сбора, очистки и агрегации огромных массивов данных из логов колл-центра, чат-ботов и CRM-систем анализировать метрики работы колл-центра. Искать инсайты в цифрах: почему выросло среднее время обслуживания клиентов? Где сотрудник допустил ошибку? Какие тематики обращений требуют большего внимания руководителя? настраивать интерфейсы для руководителей: разворачивать дашборды и настраивать задачи. Руководители контактного центра должны видеть понятные метрики своего подразделения без необходимости искать информацию быть переводчиком между бизнесом и данными: общаться с представителями бизнес-направлений, собирать требования, формулировать гипотезы и защищать результаты своих расчетов участвовать в разработке и поддержке платформы ИСУ, интегрировать новые функциональные возможности и улучшать существующие. Требования базовый Python: вы знаете типы данных, циклы, функции и принципы ООП. Плюсом будет знакомство с библиотеками Pandas, NumPy или опытом парсинга данных. базовый SQL: умеете делать JOIN 'ы нескольких таблиц, фильтровать данные ( WHERE ) и считать агрегаты ( GROUP BY, оконные функции). высшее образование (или выпускной курс бакалавриата/магистратуры). Готовы рассматривать сильных студентов старших курсов очных форм обучения при условии гибкого графика. логика и структурность. Способность декомпозировать большую задачу на маленькие шаги и доводить решение до конца. опыт использования ИИ инструментов в рабочих задачах желание развиваться в Data Science/Data Engineering. Нам важно, чтобы вам было интересно разбираться, как устроены данные под капотом. Условия комфортный современный офис рядом с м. Кутузовская формат работы - офис возможность самореализации, видеть результаты своих трудов корпоративный спортзал и зоны отдыха уникальная система обучения Сбера для профессионального и карьерного развития, семинары, тренинги, конференции программа адаптации и помощь руководителя на старте ДМС, страхование от несчастных случаев, социальные гарантии гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ подписка Прайм с возможностью совместного использования на трёх близких вознаграждение за рекомендацию друзей в команду Сбера корпоративная пенсионная программа корпоративные мероприятия."
